"common_name","scientific_name","city","state","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"Sonoran palo verde","Cercidium floridum","Phoenix","Arizona",9.361624,5.99,"no_info","4.57 to 9.14 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue paloverde","Cercidium floridum","Phoenix","Arizona",41.109731,9.1,"no_info","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue paloverde","Cercidium floridum","Phoenix","Arizona",34.5,NA,"no_info",NA,"30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesquite","Prosopis","Phoenix","Arizona",6.458328,4.68,"no_info","4.57 to 9.14 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesquite","Prosopis","Phoenix","Arizona",38.281588,7.3,"no_info","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesquite","Prosopis","Phoenix","Arizona",33.2,NA,"no_info",NA,"30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",31.8,4.97,"introduced","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",13.8,3.5,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",18.5,4.83,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue paloverde","Parkinsonia florida","Phoenix","Arizona",26.131016,7.55,"naturally_occurring","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California palm","Washingtonia filifera","Phoenix","Arizona",47,5,"naturally_occurring","4.57 to 9.14 m","45.72 to 60.96 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacaranda","Jacaranda mimosifolia","Phoenix","Arizona",14.5,7.5,"introduced","4.57 to 9.14 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oleander","Nerium oleander","Phoenix","Arizona",6.344289,4.37,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oleander","Nerium oleander","Phoenix","Arizona",4.666905,4.23,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oleander","Nerium oleander","Phoenix","Arizona",9.027735,4.37,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oleander","Nerium oleander","Phoenix","Arizona",6.519202,4.23,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Resinous juglans","Juglans nigra","Phoenix","Arizona",24,6.04,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saguaro","Carnegiea gigantea","Phoenix","Arizona",28,4.2,"naturally_occurring","0 to 4.57 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saguaro","Carnegiea gigantea","Phoenix","Arizona",49,4.67,"naturally_occurring","4.57 to 9.14 m","45.72 to 60.96 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sour orange","Citrus aurantium","Phoenix","Arizona",11.905881,4.2,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velvet ash","Fraxinus velutina","Phoenix","Arizona",32.5,8.5,"naturally_occurring","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Weeping bottlebrush","Callistemon viminalis","Phoenix","Arizona",26,8,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",73.2,8.62,"naturally_occurring","4.57 to 9.14 m","60.96 to 76.2 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",31.145144,7.87,"naturally_occurring","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",32.5,7.72,"naturally_occurring","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",25.2,8.98,"naturally_occurring","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",39.1,9.62,"naturally_occurring","9.14 to 13.71 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",43.8,10.67,"naturally_occurring","9.14 to 13.71 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",34.253321,8.1,"naturally_occurring","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",39.7,9,"naturally_occurring","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",30,8.5,"naturally_occurring","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",15.6,5.84,"naturally_occurring","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",18.3,6.46,"naturally_occurring","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",19.3,7.34,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",50.6,8.2,"introduced","4.57 to 9.14 m","45.72 to 60.96 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ash","Fraxinus","Phoenix","Arizona",3.5,2.7,"no_info","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ash","Fraxinus","Phoenix","Arizona",2.3,3,"no_info","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"African sumac","Searsia lancea","Phoenix","Arizona",34.3,7.3,"introduced","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"African sumac","Searsia lancea","Phoenix","Arizona",41.670853,8.6,"introduced","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"African sumac","Searsia lancea","Phoenix","Arizona",40.2,8,"introduced","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bottle tree","Brachychiton rupestris","Phoenix","Arizona",10.630616,5.91,"introduced","4.57 to 9.14 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California palm","Washingtonia filifera","Phoenix","Arizona",3.2,2.43,"naturally_occurring","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
