"city_ID","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","location_type","overhead_utility","condition","native","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","retired_date","zipcode","address","neighborhood","location_name","ward","district","diameter_breast_height_CM","height_M","height_binned_M","percent_population"
72964,"9/18/2013","inventory_date","Spruce","Picea","Waukee","Iowa",-93.88990578,41.60271078,"green_space","No lines","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72965,"9/16/2013","inventory_date","Maple","Acer","Waukee","Iowa",-93.87514363,41.61327446,"green_space","No lines","fair","no_info","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72966,"10/10/2013","inventory_date","Eastern redbud","Cercis canadensis","Waukee","Iowa",-93.87757685,41.60944644,"green_space","No lines","good","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72967,"9/17/2013","inventory_date","Red maple","Acer rubrum","Waukee","Iowa",-93.87405425,41.60420648,"green_space","No lines","fair","naturally_occurring","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72968,"9/19/2013","inventory_date","Siberian elm","Ulmus pumila","Waukee","Iowa",-93.87781045,41.60973494,"green_space","No lines","fair","introduced","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72969,"10/21/2013","inventory_date","Silver maple","Acer saccharinum","Waukee","Iowa",-93.87708647,41.60371773,"green_space","No lines","fair","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72970,"10/11/2013","inventory_date","Norway maple","Acer platanoides","Waukee","Iowa",-93.88869471,41.61049851,"green_space","No lines","good","introduced","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72971,"9/18/2013","inventory_date","Apple","Malus","Waukee","Iowa",-93.84545292,41.61320601,"green_space","No lines","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72972,"10/21/2013","inventory_date","River birch","Betula nigra","Waukee","Iowa",-93.87815463,41.60391321,"green_space","No lines","fair","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72973,"10/11/2013","inventory_date","Green ash","Fraxinus pennsylvanica","Waukee","Iowa",-93.87738641,41.60462966,"green_space","No lines","good","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72974,"9/17/2013","inventory_date","Littleleaf linden","Tilia cordata","Waukee","Iowa",-93.87340682,41.60427263,"green_space","No lines","good","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72975,"10/10/2013","inventory_date","Northern hackberry","Celtis occidentalis","Waukee","Iowa",-93.84418322,41.60455166,"green_space","No lines","good","naturally_occurring","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72976,"9/19/2013","inventory_date","Eastern white pine","Pinus strobus","Waukee","Iowa",-93.87648451,41.60949061,"green_space","No lines","good","naturally_occurring","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72977,"10/15/2013","inventory_date","Pear","Pyrus","Polk City","Iowa",-93.72472033,41.76933733,"green_space","No lines","fair","no_info","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73013,"8/13/2013","inventory_date","Eastern white pine","Pinus strobus","Waukee","Iowa",-93.8849559,41.59321052,"green_space","No lines","good","naturally_occurring","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73014,"8/9/2013","inventory_date","White ash","Fraxinus americana","Waukee","Iowa",-93.86743887,41.60084691,"green_space","No lines","good","naturally_occurring","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73015,"8/14/2013","inventory_date","Mulberry","Morus","Waukee","Iowa",-93.88437113,41.5976833,"green_space","No lines","poor","no_info","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73016,"8/15/2013","inventory_date","Northern catalpa","Catalpa speciosa","Waukee","Iowa",-93.87014473,41.60087365,"green_space","No lines","fair","introduced","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73017,"8/15/2013","inventory_date","Eastern white pine","Pinus strobus","Waukee","Iowa",-93.88464781,41.59607203,"green_space","No lines","poor","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73018,"8/16/2013","inventory_date",NA,NA,"Waukee","Iowa",-93.88517866,41.60257768,"green_space","No lines","good","no_info","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73019,"8/14/2013","inventory_date","Northern hackberry","Celtis occidentalis","Waukee","Iowa",-93.88069701,41.59256926,"green_space","No lines","fair","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73020,"8/16/2013","inventory_date","Honeylocust","Gleditsia triacanthos","Waukee","Iowa",-93.86576402,41.5987443,"green_space","No lines","good","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73021,"8/15/2013","inventory_date","Apple","Malus","Waukee","Iowa",-93.86846225,41.6013421,"green_space","No lines","fair","no_info","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73022,"8/13/2013","inventory_date","Siberian elm","Ulmus pumila","Waukee","Iowa",-93.88485811,41.59522088,"green_space","No lines","good","introduced","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73023,"8/9/2013","inventory_date","White ash","Fraxinus americana","Waukee","Iowa",-93.86676372,41.60184353,"green_space","No lines","good","naturally_occurring","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73024,"9/16/2013","inventory_date","Littleleaf linden","Tilia cordata","Waukee","Iowa",-93.83937846,41.60756636,"green_space","No lines","good","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73025,"9/17/2013","inventory_date","Apple","Malus","Waukee","Iowa",-93.88263128,41.60317161,"green_space","No lines","good","no_info","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73026,"10/10/2013","inventory_date","Apple","Malus","Waukee","Iowa",-93.8779517,41.60969836,"green_space","No lines","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73027,"10/21/2013","inventory_date","Silver maple","Acer saccharinum","Waukee","Iowa",-93.8788429,41.60383708,"green_space","No lines","fair","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73028,"10/11/2013","inventory_date","Spruce","Picea","Waukee","Iowa",-93.88801851,41.61032598,"green_space","No lines","good","no_info","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73029,"10/10/2013","inventory_date","Kentucky coffeetree","Gymnocladus dioicus","Waukee","Iowa",-93.84375962,41.60203424,"green_space","No lines","good","naturally_occurring","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73030,"10/10/2013","inventory_date","Littleleaf linden","Tilia cordata","Waukee","Iowa",-93.8448927,41.60973023,"green_space","No lines","fair","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73031,"10/10/2013","inventory_date","Norway maple","Acer platanoides","Waukee","Iowa",-93.84399836,41.60188159,"green_space","No lines","good","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73085,"9/3/2013","inventory_date","Honeylocust","Gleditsia triacanthos","Monroe","Iowa",-93.10424772,41.52538753,"green_space","0","good","naturally_occurring","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73086,"9/3/2013","inventory_date",NA,NA,"Monroe","Iowa",-93.10736439,41.51721586,"green_space","No lines","good","no_info","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73087,"9/3/2013","inventory_date","Northern red oak","Quercus rubra","Monroe","Iowa",-93.10286105,41.52545586,"green_space","0","good","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73088,"9/3/2013","inventory_date","Apple","Malus","Monroe","Iowa",-93.10647106,41.5130292,"green_space","0","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73089,"9/3/2013","inventory_date","Hickory","Carya","Monroe","Iowa",-93.10195939,41.52521586,"green_space","0","good","no_info","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73090,"9/3/2013","inventory_date",NA,NA,"Monroe","Iowa",-93.11130939,41.51373086,"green_space","0","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73091,"9/3/2013","inventory_date","Silver maple","Acer saccharinum","Monroe","Iowa",-93.10519772,41.52180753,"green_space","0","fair","naturally_occurring","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73092,"9/3/2013","inventory_date","Ash","Fraxinus","Monroe","Iowa",-93.10334105,41.52420419,"green_space","0","good","no_info","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73093,"9/3/2013","inventory_date","Spruce","Picea","Monroe","Iowa",-93.10606106,41.51202586,"green_space","0","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73094,"9/3/2013","inventory_date","Kentucky coffeetree","Gymnocladus dioicus","Monroe","Iowa",-93.11195439,41.5134542,"green_space","0","good","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73095,"9/3/2013","inventory_date","Northern hackberry","Celtis occidentalis","Monroe","Iowa",-93.10372377,41.52249988,"green_space","Yes and conflicting","fair","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73096,"9/3/2013","inventory_date","Honeylocust","Gleditsia triacanthos","Monroe","Iowa",-93.10442222,41.52250115,"green_space","No lines","good","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
