"city_ID","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","district","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","overhead_utility","condition","percent_population"
17247,"Southern magnolia","Magnolia grandiflora","Garden Grove","California",-117.9495134,33.76498155,"13616 Cypress St",5,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17249,"Southern magnolia","Magnolia grandiflora","Garden Grove","California",-117.9492721,33.76516967,"13616 Cypress St",5,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17252,"Sweetshade","Hymenosporum flavum","Garden Grove","California",-117.9600451,33.76510122,"13621 Cork St",5,15.24,98.4252,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17261,"Brisbane box","Lophostemon confertus","Garden Grove","California",-117.974197,33.7649445,"13621 Hazel St",12,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17262,"Sweetshade","Hymenosporum flavum","Garden Grove","California",-117.9516779,33.76489484,"13621 Hope St",5,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17264,"Chinese flame tree","Koelreuteria bipinnata","Garden Grove","California",-117.9311137,33.765131,"13621 Malibu St",5,60.96,147.6378,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17266,"Brisbane box","Lophostemon confertus","Garden Grove","California",-117.9692943,33.76503477,"13621 Mcmains St",12,60.96,98.4252,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17267,"Brisbane box","Lophostemon confertus","Garden Grove","California",-117.9783383,33.76492697,"13621 Purdy St",12,60.96,98.4252,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17271,"Cape chestnut","Calodendrum capense","Garden Grove","California",-117.9505628,33.76481961,"13622 Bowen St",5,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17273,"Brazilian pepper","Schinus terebinthifolius","Garden Grove","California",-117.9596312,33.76510485,"13622 Cork St",5,60.96,98.4252,"no_info","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17275,"Mexican fan palm","Washingtonia robusta","Garden Grove","California",-117.9524835,33.7648901,"13622 Dawson St",5,60.96,98.4252,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
